"Image","Offset_E_ft","Offset_N_ft","Spread_E_ft","Spread_N_ft","N_patches","Note"
"NAPP_1994_CIR","","","","","0","not aligned - too few matches; excluded from measurement"
"NYS_2004_RGB","-0.02","-3.95","6.72","8.75","23","1-ft source; offsets inconsistent between areas - use +/-4 ft"
"NYS_2007_CIR","-1.91","3.20","1.70","0.94","65",""
"NYS_2007_RGB","-1.19","-0.04","1.98","1.13","62",""
"NYS_2010_RGB","-1.53","-0.53","2.25","3.50","49",""
"NYS_2013_CIR","-1.41","-1.01","2.02","2.59","66",""
"NYS_2013_RGB","-1.30","-0.96","1.48","1.76","68",""
"NYS_2016_CIR","0.50","-1.53","1.37","1.47","42",""
"NYS_2016_RGB","0.45","-1.03","1.31","1.54","45",""
"NYS_2021_CIR","0.11","-1.86","0.54","1.78","69",""
"NYS_2021_RGB","0.12","-1.82","0.48","1.03","75",""
"NYS_2024_CIR","0.08","-0.56","1.23","2.09","61",""
"NYS_2024_RGB","0.02","-0.55","1.14","2.13","64",""
"NYS_2025_CIR","-0.00","0.00","0.01","0.02","204",""
"NYS_2025_RGB","0.00","0.00","0.00","0.00","0",""
"Commercial_aerial_2026","-0.43","2.44","0.95","1.45","60","licensed image, not redistributed"
