Station,Station_ft,Bank_setting,Face_toe_ft,Face_top_ft,Face_slope_deg,Bank_u_2011_ft,Bank_u_2022_ft,Move_25pct_ft,Move_50pct_ft,Move_75pct_ft,Move_mean_ft,Detection_limit_95pct_ft,Real_change,Rate_ft_per_yr
0,0,creek-facing,32.5,39.4,49.0,10.7,10.6,-0.5,-0.1,-0.9,-0.5,1.4,no,-0.05
1,10,creek-facing,32.3,39.3,47.0,13.3,13.5,0.0,0.2,0.1,0.1,1.4,no,0.01
2,20,creek-facing,32.1,39.4,53.0,13.7,14.3,-0.6,0.6,0.6,0.2,1.3,no,0.02
3,30,creek-facing,31.3,39.1,39.0,13.0,14.1,1.0,1.1,0.6,0.9,1.4,no,0.09
4,40,creek-facing,31.1,39.1,34.0,13.5,13.6,-0.2,0.2,0.8,0.3,1.5,no,0.02
5,50,creek-facing,30.8,38.9,46.0,12.6,12.3,-0.5,-0.3,-1.0,-0.6,1.4,no,-0.06
6,60,creek-facing,30.7,39.6,35.0,13.5,11.8,-1.6,-1.7,-1.0,-1.4,1.5,no,-0.14
7,70,creek-facing,31.0,39.7,43.0,15.4,15.8,-1.2,0.4,0.1,-0.2,1.4,no,-0.02
8,80,creek-facing,30.8,39.8,31.0,16.3,15.1,-1.7,-1.1,-1.1,-1.3,1.6,no,-0.13
9,90,creek-facing,29.9,39.9,33.0,15.8,15.5,-1.2,-0.3,-2.0,-1.2,1.5,no,-0.11
10,100,creek-facing,30.1,40.2,36.0,16.2,16.5,-0.0,0.3,-0.5,-0.1,1.5,no,-0.01
11,110,creek-facing,29.6,39.2,37.0,14.2,12.5,-2.5,-1.7,1.1,-1.0,1.5,no,-0.1
12,120,creek-facing,30.6,37.2,31.0,14.9,13.2,-1.3,-1.7,-1.6,-1.5,1.6,no,-0.15
13,130,creek-facing,30.2,36.6,31.0,14.3,13.8,-0.8,-0.5,0.5,-0.3,1.6,no,-0.03
14,140,creek-facing,29.9,36.8,40.0,15.0,13.4,-0.1,-1.7,-2.0,-1.3,1.4,no,-0.12
15,150,creek-facing,30.1,37.2,32.0,15.1,14.3,-1.3,-0.8,-0.1,-0.7,1.6,no,-0.07
16,160,creek-facing,30.2,36.3,31.0,13.8,13.2,-0.6,-0.6,-1.4,-0.9,1.6,no,-0.08
17,170,creek-facing,29.6,35.6,32.0,12.2,10.9,-2.1,-1.3,-0.5,-1.3,1.6,no,-0.13
18,180,creek-facing,29.5,35.6,39.0,11.2,11.0,-0.0,-0.2,-0.9,-0.4,1.4,no,-0.04
19,190,creek-facing,28.6,35.4,39.0,11.3,10.1,-1.0,-1.2,-1.1,-1.1,1.4,no,-0.11
20,200,creek-facing,28.7,35.1,34.0,12.5,11.9,-0.5,-0.6,-0.2,-0.4,1.5,no,-0.04
21,210,creek-facing,28.5,35.3,32.0,14.8,13.2,-1.2,-1.5,-0.6,-1.1,1.6,no,-0.11
22,220,creek-facing,28.7,35.4,34.0,14.0,12.9,-1.7,-1.0,-1.0,-1.2,1.5,no,-0.12
23,230,creek-facing,28.5,35.5,37.0,15.0,13.6,-0.2,-1.4,-0.5,-0.7,1.5,no,-0.07
24,240,creek-facing,28.1,35.1,35.0,14.2,13.0,-1.2,-1.2,-0.8,-1.0,1.5,no,-0.1
25,250,creek-facing,28.1,34.7,35.0,14.2,13.2,-1.0,-1.0,-1.1,-1.0,1.5,no,-0.1
26,260,creek-facing,28.1,34.3,32.0,14.4,13.6,-0.6,-0.7,-0.7,-0.7,1.6,no,-0.06
27,270,creek-facing,27.5,34.0,31.0,14.3,13.7,-1.8,-0.6,-0.9,-1.1,1.6,no,-0.11
28,280,creek-facing,28.1,33.6,30.0,15.9,14.4,-1.0,-1.5,-1.0,-1.2,1.6,no,-0.11
29,290,creek-facing,27.5,33.4,31.0,15.4,14.2,-0.9,-1.1,-0.7,-0.9,1.6,no,-0.09
30,300,creek-facing,27.2,34.3,31.0,15.4,15.6,-0.2,0.2,-1.6,-0.5,1.6,no,-0.05
31,310,creek-facing,27.3,32.5,38.0,15.1,14.0,-1.1,-1.2,-1.0,-1.1,1.5,no,-0.1
32,320,creek-facing,27.4,32.9,33.0,15.9,15.0,-1.5,-0.9,0.1,-0.8,1.6,no,-0.07
33,330,creek-facing,27.3,34.6,38.0,17.2,16.4,-0.7,-0.9,2.1,0.2,1.5,no,0.02
34,340,creek-facing,27.5,34.2,35.0,18.3,17.5,-1.1,-0.9,-1.4,-1.1,1.5,no,-0.11
35,350,creek-facing,27.8,32.9,45.0,18.8,18.3,-0.5,-0.4,-1.6,-0.8,1.4,no,-0.08
36,360,creek-facing,27.7,32.7,43.0,19.3,20.9,3.5,1.6,-0.1,1.7,1.4,yes,0.16
37,370,creek-facing,27.1,32.4,30.0,24.5,25.8,0.3,1.3,-0.4,0.4,1.6,no,0.04
38,380,creek-facing,28.9,34.8,26.0,43.6,40.3,-3.1,-3.4,-2.5,-3.0,1.7,yes,-0.29
39,390,set back 44 ft behind a raised bar/bench,28.9,34.9,61.0,50.7,47.6,-0.0,-3.1,-6.3,-3.1,1.3,yes,-0.3
40,400,set back 50 ft behind a raised bar/bench,28.8,35.5,32.0,56.2,55.9,0.2,-0.3,0.2,0.0,1.6,no,0.0
41,410,set back 50 ft behind a raised bar/bench,29.4,35.3,20.0,60.6,61.4,0.2,0.7,1.3,0.7,2.1,no,0.07
42,420,set back 55 ft behind a raised bar/bench,29.5,34.2,24.0,63.2,63.8,0.4,0.6,0.6,0.6,1.8,no,0.05
